label_cluster_id,label_type,street_edge_id,osm_way_id,region_id,region_name,avg_image_capture_date,avg_label_date,median_severity,agree_count,disagree_count,unsure_count,cluster_size,users,avg_latitude,avg_longitude
21387,CurbRamp,98,35037906,7,UV 42,2025-05-01T00:00Z,2025-10-08T00:06:25.744Z,2,3,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.166689,-70.741395
21388,CurbRamp,54,35037897,7,UV 42,2015-04-01T00:00Z,2025-10-09T01:19:48.470Z,1,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.166904,-70.74012
21389,CurbRamp,13360,1418633546,7,UV 42,2025-05-01T00:00Z,2025-10-06T22:52:19.138Z,1,2,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.165276,-70.74244
21390,CurbRamp,12274,1023086876,7,UV 42,2025-05-01T00:00Z,2025-09-08T00:50:06.714Z,1,2,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.165237,-70.74262
21391,CurbRamp,86,35037903,7,UV 42,2025-05-01T00:00Z,2025-09-27T07:18:40.865333Z,1,3,0,0,3,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.165192,-70.743985
21392,CurbRamp,12233,1022730793,7,UV 42,2023-06-01T00:00Z,2025-10-06T22:48:46.526Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.16504,-70.74398
21393,CurbRamp,12231,1022730791,7,UV 42,2025-05-01T00:00Z,2025-10-06T22:44:25.158Z,1,2,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.165016,-70.74521
21394,CurbRamp,12231,1022730791,7,UV 42,2025-05-01T00:00Z,2025-10-06T22:42:45.574Z,,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.16505,-70.74487
21395,CurbRamp,86,35037903,7,UV 42,2025-03-01T00:00Z,2025-10-12T01:43:46.300Z,1,2,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1663,-70.744194
21396,CurbRamp,51,35037897,7,UV 42,2025-03-01T00:00Z,2025-10-06T14:04:18.976500Z,1,3,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.166304,-70.74424
21397,CurbRamp,51,35037897,7,UV 42,2025-03-01T00:00Z,2025-10-06T14:09:04.102Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.166138,-70.745476
